Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2031391394,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031391677,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031421525,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031431475,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031441531,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031451503,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031490890,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031491181,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031491371,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031491616,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031521650,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031531569,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031541569,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031551600,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031590899,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031591194,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031591383,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031591630,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031621699,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031631676,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031641722,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031651693,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031690889,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031691127,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031691359,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031691618,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031721844,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031731767,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031741782,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031751790,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031790877,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031791114,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031791360,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031791604,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031821900,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031831882,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031841921,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031852029,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031890860,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031891102,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031891362,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031891605,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2031922038,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2031931977,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2031941998,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2031951997,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2031990871,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2031991089,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2031991338,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2031991590,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032022105,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032032072,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032042110,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2032052098,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
